Crop,State,District,Season,Year,Area,Production,Yield,Rainfall,Temperature,Humidity,pH,N,P,K,Pesticide_usage
Sugarcane,Assam,Guwahati,Kharif,2015,19541.94,1320495.79,67.5724,1958.54,33.32,73.87,,117.86,53.0,72.14,13.7
Onion,Gujarat,Mehsana,Zaid,2019,33658.67,638925.7,18.9825,336.48,21.43,51.44,6.82,90.09,63.75,91.58,9.11
Tomato,Andhra Pradesh,Kakinada,Zaid,2017,48435.73,2204523.19,45.5144,1103.09,24.26,64.45,6.4,107.52,85.11,114.67,
Potato,Rajasthan,Udaipur,Whole Year,2000,,1135616.33,25.7919,675.11,22.08,74.63,5.57,91.83,96.31,129.59,14.25
Tomato,West Bengal,Howrah,Zaid,2012,,18921.09,28.3866,670.52,26.49,74.92,6.58,98.75,61.69,84.75,19.26
Potato,Tamil Nadu,Chennai,Rabi,2005,40125.25,1043140.14,25.9971,,24.25,,5.38,128.9,82.24,116.13,14.06
Maize,Karnataka,Mysuru,Zaid,2016,34817.86,176919.99,5.0813,1140.69,20.45,58.43,6.94,98.18,58.83,57.53,17.86
Tomato,Tamil Nadu,Coimbatore,Whole Year,2007,17732.28,701455.31,39.5581,,26.98,70.72,6.31,103.35,62.33,118.98,
Cotton,Haryana,Rohtak,Kharif,2005,47495.02,105172.97,2.2144,1152.91,33.12,41.58,5.86,89.03,40.34,,7.84
Chickpea,Telangana,Hyderabad,Rabi,2016,41932.6,52159.96,1.2439,322.55,27.97,64.39,7.5,26.72,48.3,25.47,19.93
Soybean,Gujarat,Mehsana,Kharif,2009,42497.4,87361.91,2.0557,1172.43,26.06,56.86,6.67,27.42,49.01,42.58,12.55
Onion,West Bengal,Howrah,Rabi,2021,41585.44,929600.93,22.354,335.36,,64.75,6.72,,64.49,98.72,8.7
Barley,Gujarat,Mehsana,Rabi,2010,10726.91,31220.67,2.9105,594.96,17.1,48.12,7.36,55.45,35.29,42.01,7.29
Maize,Haryana,Faridabad,Zaid,2004,39843.94,176229.75,4.423,639.74,20.46,68.62,6.22,98.37,65.26,63.07,4.58
Maize,Bihar,Muzaffarpur,Zaid,2022,6489.49,24522.48,3.7788,709.13,23.46,76.9,6.37,,44.16,59.23,13.52
Maize,Punjab,Bathinda,Kharif,2009,,33849.13,3.7893,723.8,,65.1,6.63,83.55,43.62,53.82,1.27
Sunflower,Karnataka,Bengaluru,Rabi,2023,43691.57,81628.96,1.8683,722.48,28.98,45.54,6.16,,41.22,45.54,7.72
Ginger,Andhra Pradesh,Vijayawada,Kharif,2013,7472.18,117230.28,15.6889,2624.42,20.3,87.34,5.85,,53.74,113.78,8.24
Tea,Karnataka,Belagavi,Whole Year,2006,16171.75,35024.78,2.1658,2835.79,22.72,88.58,5.29,92.69,26.55,44.79,10.22
Coffee,Maharashtra,Pune,Whole Year,2009,14260.42,23553.94,1.6517,1856.1,,82.12,5.74,101.78,59.38,108.54,2.48
Onion,Rajasthan,Bikaner,Zaid,2010,4485.59,101931.0,22.7241,320.65,15.24,67.42,7.5,92.23,41.67,93.69,17.98
Wheat,Telangana,Warangal,Rabi,2023,36172.52,131751.17,3.6423,685.97,22.58,46.15,7.45,92.83,54.37,50.7,14.36
Sugarcane,Madhya Pradesh,Bhopal,Whole Year,2011,5830.36,440800.29,75.6043,1154.36,29.29,78.31,6.08,136.64,58.66,93.25,7.06
Turmeric,Gujarat,Ahmedabad,Kharif,2010,23710.99,212066.35,8.9438,2305.95,31.19,75.21,6.9,84.24,55.89,105.33,19.82
Tomato,Maharashtra,Aurangabad,Zaid,2000,37081.92,1490107.29,40.1842,1077.16,22.02,63.27,6.16,,85.25,85.59,16.38
Ginger,Madhya Pradesh,Bhopal,Kharif,2017,40848.31,700266.66,17.1431,1952.07,27.48,80.05,5.73,77.57,47.54,98.51,18.04
Potato,Andhra Pradesh,Vijayawada,Rabi,2007,11528.37,326601.03,28.3302,865.27,21.94,68.33,6.32,107.14,77.26,116.64,10.16
Rice,Odisha,Cuttack,Kharif,2004,38950.74,,4.218,1740.97,29.55,72.06,6.3,85.73,44.09,54.28,7.89
Potato,Odisha,Sambalpur,Whole Year,2007,7580.88,193984.11,25.5886,820.57,21.94,75.85,5.38,91.46,88.89,136.0,7.24
Chickpea,Telangana,Warangal,Rabi,2011,45601.44,71129.13,1.5598,590.44,23.89,43.07,7.38,18.48,,25.12,15.91
Ginger,Gujarat,Surat,Kharif,2008,21264.12,479635.62,22.5561,2176.26,21.13,89.7,6.34,89.46,58.69,,2.93
Turmeric,Gujarat,Ahmedabad,Kharif,2009,40162.39,303185.88,7.549,1898.61,,73.66,6.02,60.19,46.67,119.91,14.88
Onion,Uttar Pradesh,Varanasi,Zaid,2018,12486.5,258072.23,20.6681,424.59,25.15,56.94,6.33,83.11,44.97,61.36,4.65
Tomato,Karnataka,Bengaluru,Whole Year,2007,25159.53,952524.71,37.8594,725.94,28.98,64.1,6.19,103.82,62.01,110.0,
Coffee,Assam,Jorhat,Whole Year,2017,14772.83,28877.93,1.9548,1981.09,22.97,85.31,5.6,122.84,55.83,106.72,7.02
Sunflower,West Bengal,Howrah,Zaid,2000,1366.78,2079.15,1.5212,410.84,22.66,46.93,6.94,66.25,54.32,53.18,0.88
Groundnut,Rajasthan,Jaipur,Zaid,2002,44384.28,93153.73,2.0988,894.36,31.03,70.17,6.94,28.92,44.42,84.16,18.92
Sunflower,Andhra Pradesh,Vijayawada,Zaid,2006,36821.64,58877.8,1.599,657.17,28.45,67.32,6.86,93.93,42.46,57.53,7.05
Onion,Telangana,Warangal,Zaid,2019,31245.03,,22.666,417.79,27.33,69.09,6.21,76.38,56.56,77.45,17.44
Maize,Uttar Pradesh,Agra,Zaid,2013,37110.18,161551.75,4.3533,987.03,24.22,53.97,6.88,107.95,52.08,46.54,13.98
Barley,Gujarat,Vadodara,Rabi,2020,40771.22,118945.96,2.9174,548.73,,38.2,6.21,69.92,36.34,43.1,5.64
Turmeric,Maharashtra,Aurangabad,Kharif,2020,8851.03,,8.3645,1874.59,20.7,69.16,6.61,96.58,48.38,119.16,2.11
Potato,Madhya Pradesh,Jabalpur,Rabi,2020,41870.24,1151197.13,27.4944,805.2,24.49,72.93,6.43,101.86,96.62,136.08,3.13
Tomato,Telangana,Nizamabad,Zaid,2019,2666.15,99997.42,37.5063,1062.55,21.07,61.5,6.73,99.85,77.91,93.37,10.16
Bajra,Bihar,Gaya,Kharif,2002,40973.21,61885.94,1.5104,436.09,29.69,33.21,6.88,71.98,33.89,25.44,3.17
Chickpea,Telangana,Nizamabad,Rabi,2007,31983.57,66359.51,2.0748,692.23,28.55,59.4,7.04,33.98,54.48,32.74,1.51
Sugarcane,West Bengal,Howrah,Whole Year,2022,27834.75,2233955.8,80.2578,1731.02,26.12,67.88,6.63,128.39,59.39,74.82,
Sunflower,Andhra Pradesh,Visakhapatnam,Rabi,2023,11577.44,11861.09,1.0245,,28.7,41.96,6.34,64.82,41.54,53.93,11.02
Maize,Odisha,Cuttack,Kharif,2000,44310.29,197814.43,4.4643,1122.06,20.21,76.24,6.43,104.63,46.99,40.73,18.81
Turmeric,Odisha,Cuttack,Kharif,2015,43696.49,372119.31,8.516,1747.76,31.06,70.97,,99.36,55.37,120.89,7.42
Tea,Assam,Dibrugarh,Whole Year,2004,2200.45,4692.24,2.1324,2076.49,23.84,79.37,5.45,81.07,39.75,57.11,15.83
Potato,Tamil Nadu,Madurai,Rabi,2001,8434.99,259404.62,30.7534,824.82,21.08,75.25,5.35,129.56,69.27,147.14,3.94
Ginger,West Bengal,Kolkata,Kharif,2002,41327.66,,16.7279,2277.39,25.97,80.5,5.76,92.03,52.6,88.65,10.55
Potato,Punjab,Jalandhar,Rabi,2023,37418.79,1132348.71,30.2615,728.72,18.91,70.46,5.72,81.74,95.8,143.01,1.37
Wheat,Maharashtra,Aurangabad,Rabi,2014,32796.57,116578.69,3.5546,623.61,13.9,61.7,6.74,82.03,41.74,48.17,2.08
Maize,Gujarat,Mehsana,Kharif,2007,44157.02,199501.42,4.518,997.27,,75.93,6.68,100.64,67.2,,10.66
Turmeric,Tamil Nadu,Tiruchirappalli,Kharif,2012,41866.97,406641.32,9.7127,2178.53,22.38,,6.81,87.9,53.6,130.93,1.07
Sunflower,Bihar,Darbhanga,Rabi,2017,40916.55,,1.5935,514.82,27.4,69.44,6.87,93.29,50.15,,5.57
Tomato,Haryana,Rohtak,Zaid,2006,27109.2,1365815.71,50.382,1159.22,21.03,78.74,6.69,118.52,70.26,105.3,1.82
Onion,Rajasthan,Jaipur,Rabi,2000,2990.23,68828.82,23.0179,570.42,20.8,66.19,6.89,62.99,65.57,99.61,7.98
Groundnut,Odisha,Rourkela,Kharif,2014,24483.3,47691.02,1.9479,536.81,34.97,60.65,6.18,34.26,43.67,73.38,3.69
Onion,Madhya Pradesh,Indore,Zaid,2021,6653.62,172511.73,25.9275,592.51,26.82,71.43,7.45,94.72,68.9,,15.32
Maize,Gujarat,Vadodara,Zaid,2005,11574.73,46471.38,4.0149,821.12,28.64,64.2,6.96,88.52,40.93,59.55,4.12
Barley,Telangana,Khammam,Rabi,2019,991.31,3363.22,3.3927,783.76,14.41,48.86,,81.87,,53.24,12.17
Tomato,Assam,Jorhat,Whole Year,2008,,372018.59,36.811,761.4,27.98,66.21,6.46,99.66,61.93,103.28,0.73
Tomato,Assam,Silchar,Zaid,2012,37877.26,1832426.08,48.378,1049.5,21.46,62.06,6.57,118.11,,108.97,0.86
Tomato,Rajasthan,Bikaner,Whole Year,2000,28026.47,907774.56,32.3899,652.72,23.51,60.66,6.08,80.39,69.79,100.71,8.24
Sunflower,Assam,Dibrugarh,Rabi,2001,2155.06,3513.83,1.6305,758.49,27.14,58.5,6.84,86.82,59.03,42.48,6.33
Tomato,Haryana,Faridabad,Whole Year,2014,,1580696.49,38.7808,1090.38,24.52,72.87,6.53,83.2,86.84,101.9,14.77
Chickpea,Odisha,Rourkela,Rabi,2022,23562.11,35166.45,1.4925,317.46,17.43,40.63,6.98,33.61,57.44,28.67,6.98
Tomato,Tamil Nadu,Chennai,Zaid,2009,20222.74,812454.65,40.1753,1104.27,21.74,79.22,6.42,88.82,72.55,88.14,17.0
Tea,Assam,Jorhat,Whole Year,2016,25748.39,60024.65,2.3312,2409.28,22.77,90.86,5.16,115.28,20.59,55.82,19.85
Coffee,West Bengal,Asansol,Whole Year,2012,23344.06,41851.23,1.7928,1905.31,24.02,,5.87,130.16,47.07,,10.5
Jowar,Karnataka,Mangaluru,Kharif,2006,18025.75,28619.48,1.5877,884.71,27.58,59.7,6.49,73.72,29.09,34.78,15.58
Bajra,Tamil Nadu,Tiruchirappalli,Kharif,2014,11810.23,14414.39,1.2205,379.51,33.7,,6.17,75.35,28.84,26.62,11.96
Groundnut,Bihar,Darbhanga,Zaid,2011,23784.08,,2.0858,834.14,27.06,52.8,5.9,36.1,46.11,77.56,1.61
Tea,Telangana,Hyderabad,Whole Year,2000,6193.28,14659.49,2.367,2260.85,,77.97,5.49,107.13,38.68,52.65,19.32
Tomato,Telangana,Nizamabad,Zaid,2017,17198.41,578102.19,33.6137,686.13,29.4,74.66,6.16,101.29,63.77,85.31,4.17
Potato,Andhra Pradesh,Kakinada,Whole Year,2014,8939.77,301432.06,33.7181,,19.97,77.36,6.3,114.63,93.52,147.23,11.63
Potato,Punjab,Bathinda,Whole Year,2008,5418.99,175114.12,32.3149,988.59,,82.42,6.17,112.89,99.98,102.41,11.56
Tea,Karnataka,Hubli,Whole Year,2005,16418.95,40198.52,2.4483,2696.72,,91.36,4.62,120.06,36.16,70.49,11.12
Potato,Gujarat,Vadodara,Whole Year,2000,11953.45,274233.66,22.9418,,,,5.7,98.66,69.09,103.66,
Mustard,West Bengal,Howrah,Rabi,2020,40706.94,76895.41,1.889,360.73,17.15,,6.73,54.36,32.98,40.53,15.06
Groundnut,Gujarat,Vadodara,Zaid,2014,12249.77,25945.01,2.118,575.81,26.01,62.15,5.89,38.18,31.21,88.03,6.06
Onion,Bihar,Darbhanga,Zaid,2002,29088.51,630574.9,21.6778,690.69,25.7,63.06,6.18,,61.53,76.0,17.26
Ginger,Telangana,Nizamabad,Kharif,2009,45895.85,725682.23,15.8115,,25.26,72.25,5.5,76.98,41.74,112.63,12.94
Ginger,Gujarat,Rajkot,Kharif,2008,32365.64,541729.61,16.7378,2654.92,25.57,75.11,5.8,66.99,47.22,116.24,14.77
Onion,Karnataka,Mysuru,Zaid,2009,22643.21,558202.68,24.6521,,17.82,52.39,6.04,83.46,45.04,89.47,13.02
Wheat,Haryana,Ambala,Rabi,2013,31637.57,99610.89,3.1485,758.23,20.14,53.28,6.67,62.34,42.84,45.49,14.63
Potato,Rajasthan,Jodhpur,Whole Year,2013,13318.28,398649.42,29.9325,683.48,18.44,,5.66,112.26,83.83,120.06,16.72
Coffee,Haryana,Rohtak,Whole Year,2020,13630.26,23056.95,1.6916,1956.86,19.9,71.05,5.88,115.57,,91.54,7.58
Tea,Madhya Pradesh,Rewa,Whole Year,2003,48087.12,112769.11,2.3451,2114.22,20.49,91.44,4.5,118.1,35.1,46.82,6.37
Groundnut,Tamil Nadu,Tiruchirappalli,Zaid,2022,20025.86,39763.35,1.9856,669.98,33.42,63.02,6.44,18.81,49.85,87.81,2.24
Potato,Haryana,Hisar,Rabi,2013,5970.69,154165.01,25.8203,673.16,17.39,75.19,6.24,91.37,73.67,119.05,5.95
Sunflower,West Bengal,Siliguri,Rabi,2005,45977.66,77785.01,1.6918,483.4,31.17,43.49,7.19,79.88,,57.03,7.92
Soybean,Madhya Pradesh,Rewa,Kharif,2002,8758.87,21973.38,2.5087,984.58,28.22,53.98,6.86,40.85,46.92,59.51,18.49
Onion,Assam,Guwahati,Rabi,2013,8824.45,182304.31,20.659,447.01,15.89,50.65,6.2,80.1,51.96,65.85,19.28
Onion,Haryana,Rohtak,Zaid,2017,13959.86,310122.48,22.2153,541.02,19.74,,6.85,94.06,40.01,60.71,4.24
Chickpea,Karnataka,Mysuru,Rabi,2017,2983.25,4620.46,1.5488,356.9,16.82,49.1,6.15,32.38,59.67,24.78,14.0
Bajra,Andhra Pradesh,Visakhapatnam,Kharif,2019,8770.25,13211.5,1.5064,516.84,30.26,52.89,6.03,66.23,36.96,34.49,10.75
Groundnut,Rajasthan,Bikaner,Zaid,2021,48194.73,87820.44,1.8222,795.17,30.82,67.02,5.78,21.21,32.68,72.56,12.57
Maize,Odisha,Bhubaneswar,Kharif,2004,47982.87,192440.1,4.0106,872.63,28.44,52.94,6.39,99.51,43.29,,3.43
Chickpea,Madhya Pradesh,Gwalior,Rabi,2008,30742.66,49538.72,1.6114,353.26,16.53,59.76,,36.49,47.85,39.12,16.27
Tomato,Maharashtra,Nagpur,Whole Year,2007,23127.73,1027151.06,44.4121,982.0,26.14,61.33,6.52,,79.78,115.8,3.43
Groundnut,Haryana,Gurugram,Zaid,2007,2179.48,2633.03,1.2081,435.63,25.12,73.91,6.61,17.12,44.33,62.16,7.39
Tomato,Telangana,Khammam,Zaid,2018,8788.06,272576.62,31.0167,759.03,20.21,,6.97,83.94,79.81,110.57,6.26
Maize,Tamil Nadu,Chennai,Kharif,2014,10363.79,49820.81,4.8072,986.34,25.3,51.26,6.96,84.86,58.45,63.24,16.07
Tomato,Telangana,Nizamabad,Whole Year,2001,6491.98,279850.43,43.1071,823.3,24.32,68.79,6.61,93.53,,88.98,18.89
Cotton,Assam,Jorhat,Kharif,2013,734.47,1610.99,2.1934,1115.49,24.62,59.04,7.2,99.7,41.79,32.92,4.81
Groundnut,Bihar,Muzaffarpur,Kharif,2012,8324.26,15193.44,1.8252,506.76,30.06,71.02,6.6,18.29,44.52,84.53,11.07
Coffee,Odisha,Bhubaneswar,Whole Year,2021,28294.6,57718.15,2.0399,2261.12,19.6,79.23,5.51,121.33,66.2,111.81,5.31
Maize,West Bengal,Howrah,Zaid,2009,37143.17,166720.83,4.4886,825.16,25.39,,6.82,112.6,58.45,60.64,16.88
Onion,Haryana,Gurugram,Rabi,2001,37957.95,920597.96,24.2531,488.13,21.53,53.12,6.58,87.14,62.69,93.68,13.05
Potato,West Bengal,Asansol,Rabi,2021,34811.35,943878.43,27.1141,,15.93,76.76,5.72,80.16,84.78,117.77,13.03
Tea,Tamil Nadu,Salem,Whole Year,2022,35176.88,81346.53,2.3125,2403.22,15.3,81.44,5.14,83.17,29.73,63.97,
Onion,West Bengal,Asansol,Zaid,2018,22065.93,453993.27,20.5744,335.44,17.87,64.96,7.1,65.9,49.85,77.36,19.97
Rice,Haryana,Rohtak,Kharif,2005,31845.25,130715.2,4.1047,2259.7,25.84,81.44,6.38,111.43,42.37,48.2,4.1
Groundnut,Odisha,Rourkela,Kharif,2012,34913.76,61591.36,1.7641,826.36,27.26,59.42,6.19,38.24,45.65,61.68,9.88
Potato,Gujarat,Surat,Whole Year,2003,,184584.0,27.3027,718.43,22.3,80.31,5.24,84.03,89.12,124.82,12.4
Potato,Tamil Nadu,Chennai,Whole Year,2023,2947.03,74677.15,25.3398,953.13,17.5,70.44,6.14,94.11,70.47,,
Sugarcane,Odisha,Cuttack,Whole Year,2012,42669.17,3330670.07,78.058,1345.92,27.47,84.3,6.13,102.79,68.59,92.48,5.12
Barley,Tamil Nadu,Salem,Rabi,2011,39406.88,132355.89,3.3587,372.48,21.43,40.74,6.51,74.98,44.89,54.59,6.52
Turmeric,Gujarat,Rajkot,Kharif,2000,7647.22,63391.63,8.2895,1929.59,27.85,67.87,6.79,69.01,,,14.59
Onion,Uttar Pradesh,Agra,Rabi,2005,42361.24,848249.94,20.0242,386.44,16.27,71.55,6.69,77.15,44.23,86.57,15.11
Sunflower,Haryana,Hisar,Zaid,2002,,3984.82,1.4799,465.88,23.96,62.7,6.68,91.45,44.03,45.17,4.5
Tea,Karnataka,Mysuru,Whole Year,2016,1455.65,3402.0,2.3371,2308.05,21.47,77.11,5.16,83.91,29.28,76.37,16.53
Groundnut,Maharashtra,Nashik,Zaid,2018,9860.9,15797.16,1.602,778.74,27.76,57.81,6.46,19.67,31.88,70.7,4.32
Mustard,Haryana,Hisar,Rabi,2001,15906.41,37959.06,2.3864,692.58,12.11,46.06,6.11,84.29,48.12,35.54,17.93
Sugarcane,Haryana,Ambala,Kharif,2005,48391.02,3843161.58,79.4189,1319.67,34.87,77.13,6.18,151.41,53.53,99.59,
Sugarcane,Punjab,Ludhiana,Whole Year,2019,44523.88,3265946.81,73.3527,1858.18,33.01,78.52,7.07,104.76,,77.5,6.63
Onion,Bihar,Gaya,Zaid,2011,15771.63,391401.39,24.8168,510.17,18.18,52.82,6.13,70.17,64.58,95.19,14.52
Chickpea,Punjab,Amritsar,Rabi,2022,31084.34,52346.03,1.684,691.64,24.51,43.79,7.01,23.81,56.83,29.43,6.84
Maize,Tamil Nadu,Tiruchirappalli,Zaid,2019,11436.26,62240.7,5.4424,1016.49,25.13,59.16,,,48.38,59.29,1.15
Sugarcane,Assam,Jorhat,Whole Year,2006,40389.06,2980098.71,73.7848,,24.0,69.23,6.58,103.55,76.97,96.03,7.9
Jowar,Assam,Jorhat,Kharif,2002,20696.78,,1.594,,25.27,68.99,,82.09,36.98,25.45,14.3
Sunflower,Odisha,Rourkela,Rabi,2008,15307.08,26156.74,1.7088,445.03,28.44,56.22,5.96,93.18,45.63,57.46,5.22
Soybean,Uttar Pradesh,Kanpur,Kharif,2002,11394.94,27202.0,2.3872,1126.34,28.77,59.91,6.34,41.91,51.98,41.29,19.79
Tomato,Assam,Guwahati,Whole Year,2002,13462.06,620287.3,46.0767,751.38,22.2,69.77,6.74,111.57,77.2,106.35,10.74
Maize,Karnataka,Mangaluru,Zaid,2001,43961.05,217985.26,4.9586,790.17,24.35,73.22,6.52,102.87,55.52,52.91,17.9
Cotton,Punjab,Patiala,Kharif,2003,33853.68,65202.19,1.926,1179.54,24.68,49.5,6.84,65.27,30.85,44.67,19.68
Wheat,Tamil Nadu,Chennai,Rabi,2011,30243.18,123770.21,4.0925,670.28,17.09,58.68,6.7,96.3,44.78,49.39,9.23
Rice,Odisha,Cuttack,Kharif,2007,1932.4,7565.93,3.9153,,27.13,75.87,6.9,84.32,46.78,56.05,8.24
Rice,Gujarat,Ahmedabad,Kharif,2023,,123846.62,4.6512,2013.13,22.45,79.01,6.89,115.19,51.5,40.59,3.72
Rice,Tamil Nadu,Salem,Kharif,2012,35949.62,154604.94,4.3006,1003.16,29.18,86.59,5.56,118.16,54.43,57.26,17.5
Sugarcane,Maharashtra,Nagpur,Whole Year,2003,18515.75,1246989.47,67.3475,1071.01,24.88,73.87,7.41,107.26,62.57,100.05,13.54
Onion,Bihar,Darbhanga,Rabi,2017,7029.68,,21.7586,555.15,24.63,63.25,7.24,64.63,44.63,66.87,19.83
Cotton,Maharashtra,Pune,Kharif,2010,24351.42,45444.62,1.8662,891.05,25.8,,7.24,83.09,26.09,28.08,16.99
Maize,Punjab,Bathinda,Zaid,2020,43100.95,205246.72,4.762,,25.79,,5.92,103.61,46.79,51.53,17.85
Groundnut,West Bengal,Durgapur,Kharif,2003,,25401.49,1.2888,722.87,25.45,69.05,6.92,28.15,40.23,64.97,7.13
Tomato,Punjab,Jalandhar,Zaid,2010,15629.75,611059.14,39.0959,730.74,29.88,69.08,6.69,107.08,78.17,94.58,3.24
Tomato,Gujarat,Vadodara,Zaid,2012,19271.91,562219.43,29.173,696.01,,75.12,6.46,81.56,,95.52,6.14
Mustard,Andhra Pradesh,Kurnool,Rabi,2008,49202.26,103634.72,2.1063,423.48,15.11,56.24,6.06,61.54,49.22,37.79,11.3
Potato,Maharashtra,Kolhapur,Rabi,2022,22078.02,561558.85,25.4352,528.82,18.42,70.4,6.45,95.12,,109.73,11.38
Groundnut,Tamil Nadu,Salem,Zaid,2014,40856.17,60806.24,1.4883,550.24,28.26,69.81,6.19,20.18,45.65,82.04,14.75
Rice,Tamil Nadu,Tiruchirappalli,Kharif,2004,27196.93,126977.03,4.6688,2083.21,27.33,87.4,5.7,89.11,59.28,58.19,15.91
Barley,Madhya Pradesh,Bhopal,Rabi,2011,48483.43,150279.24,3.0996,677.31,18.4,44.07,6.74,87.96,45.26,36.87,10.69
Tomato,Assam,Jorhat,Zaid,2010,45944.86,1922769.42,41.8495,873.59,24.43,72.04,6.59,94.49,81.77,115.78,16.23
Rice,Tamil Nadu,Tiruchirappalli,Kharif,2016,42363.75,204468.64,4.8265,1672.48,27.1,82.53,6.89,115.72,41.25,57.67,0.87
Chickpea,Rajasthan,Ajmer,Rabi,2002,34657.37,52280.64,1.5085,621.77,19.18,46.32,7.44,18.36,45.99,27.17,0.67
Sugarcane,Andhra Pradesh,Guntur,Kharif,2004,37049.76,3296328.26,88.9703,1658.54,32.43,86.15,,108.57,72.6,100.76,
Onion,Karnataka,Mysuru,Rabi,2003,20414.61,378103.07,18.5212,623.29,27.32,51.81,7.43,62.64,50.46,64.44,10.69
Mustard,Andhra Pradesh,Vijayawada,Rabi,2015,23965.17,47741.02,1.9921,345.0,22.95,52.04,6.3,55.81,44.2,43.34,3.47
Potato,Andhra Pradesh,Guntur,Rabi,2006,23874.21,578837.38,24.2453,801.75,18.58,77.96,5.18,91.3,85.62,148.95,17.83
Tomato,West Bengal,Siliguri,Whole Year,2019,34162.6,1449163.83,42.4196,1082.38,,70.4,6.14,89.68,81.42,,15.62
