temperature,rainfall,humidity,soil_pH,nitrogen,phosphorus,potassium,solar_radiation,wind_speed,soil_moisture,crop_type,yield,yield_category,crop_name
24.36,709.33,36.29,6.68,107.88,73.67,110.23,12.27,4.0,47.92,0,7.731,Medium,Rice
35.68,1421.66,74.89,6.42,126.82,45.3,94.83,14.65,3.63,33.12,3,5.995,Low,Soybean
28.18,803.63,52.94,6.67,149.07,41.94,54.95,9.57,4.53,38.82,1,8.13,Medium,Wheat
33.19,1449.77,69.61,6.13,142.17,95.36,63.75,12.3,3.97,74.41,5,6.958,Low,Sugarcane
18.09,1144.25,61.28,6.23,95.42,79.21,68.7,18.71,3.6,85.08,4,7.138,Low,Cotton
28.6,1044.62,84.81,6.58,123.86,22.77,64.91,10.14,3.1,68.44,3,7.943,Medium,Soybean
32.34,1010.62,51.88,6.66,141.9,44.7,118.22,12.08,3.62,52.17,0,8.504,High,Rice
27.49,1018.14,74.41,6.5,74.87,64.85,31.97,17.99,4.23,39.93,0,9.466,High,Rice
33.39,321.7,60.81,7.86,170.54,66.48,96.4,15.83,3.9,33.03,2,7.279,Low,Maize
23.9,816.33,62.63,5.71,177.26,30.19,47.69,25.97,4.07,34.02,2,7.698,Medium,Maize
35.46,1153.55,62.24,6.45,91.09,83.17,55.97,25.34,5.51,36.7,6,7.356,Low,Barley
40.79,885.33,52.31,5.24,127.75,76.5,29.76,14.53,3.9,77.27,1,5.783,Low,Wheat
24.82,478.44,64.79,6.8,145.69,69.64,66.27,20.23,2.53,72.09,7,7.652,Medium,Millet
24.33,884.28,64.06,5.61,98.18,87.13,117.77,21.0,4.83,56.19,3,8.69,High,Soybean
35.72,1411.23,68.62,6.28,139.26,69.05,86.62,15.61,1.45,30.59,3,7.121,Low,Soybean
36.48,1274.07,66.27,6.2,126.53,68.97,50.04,12.02,1.88,58.4,7,7.37,Low,Millet
23.86,881.4,76.97,6.72,61.28,91.15,105.43,17.95,4.0,41.42,6,8.912,High,Barley
24.48,1185.43,78.85,6.06,138.37,82.02,110.78,17.31,4.27,12.7,5,7.649,Medium,Sugarcane
25.31,790.05,49.24,6.02,75.99,43.17,82.6,16.26,1.63,49.31,5,8.356,High,Sugarcane
18.93,388.84,78.03,7.65,157.57,72.66,130.87,19.77,2.93,32.37,6,7.164,Low,Barley
21.49,622.66,47.2,6.73,93.15,46.71,100.54,15.0,2.59,32.88,5,7.394,Low,Sugarcane
20.98,1368.87,73.82,6.05,113.55,70.08,97.07,13.39,2.77,41.24,2,7.439,Low,Maize
22.39,817.8,74.3,6.3,174.89,69.53,59.92,18.44,4.92,37.53,3,9.309,High,Soybean
26.79,826.98,36.33,7.82,139.86,32.33,95.68,19.54,4.56,44.49,6,8.231,High,Barley
28.41,810.05,66.39,6.31,76.82,57.56,85.42,13.29,3.47,43.77,3,8.712,High,Soybean
36.3,1471.24,57.97,5.95,79.4,65.31,93.0,21.71,2.68,16.86,7,6.132,Low,Millet
21.01,1387.79,53.62,5.95,96.03,51.27,62.89,10.92,1.48,67.8,0,6.054,Low,Rice
32.91,1565.63,85.26,6.06,135.79,66.29,83.2,15.69,5.63,30.25,2,6.597,Low,Maize
25.72,852.29,55.19,6.02,134.33,76.12,59.58,16.97,4.39,30.71,4,8.744,High,Cotton
26.7,988.69,52.9,5.48,86.28,59.39,26.32,15.46,2.44,40.07,2,8.44,High,Maize
31.05,445.01,66.14,5.6,73.31,64.49,104.96,15.74,4.58,43.37,6,8.101,Medium,Barley
20.26,1343.08,75.28,5.84,131.26,87.67,42.44,25.48,3.39,66.88,4,6.542,Low,Cotton
29.29,549.67,62.88,6.97,112.73,69.46,82.68,14.6,3.07,49.04,0,8.806,High,Rice
28.0,965.03,82.5,6.2,206.29,64.02,88.33,27.76,4.15,53.5,6,8.734,High,Barley
29.95,570.81,72.96,6.33,121.46,40.84,88.16,19.75,2.39,49.12,1,8.721,High,Wheat
28.74,723.34,32.33,7.52,192.57,73.42,72.92,18.37,2.98,48.47,3,8.718,High,Soybean
41.73,648.82,57.06,7.54,73.18,66.6,86.78,19.9,3.68,49.65,0,6.438,Low,Rice
23.17,717.64,56.57,6.27,57.07,85.67,91.77,28.0,2.75,16.01,3,6.785,Low,Soybean
23.81,738.26,72.19,6.0,75.2,60.94,98.37,14.03,4.5,41.25,5,8.694,High,Sugarcane
23.26,735.52,25.63,5.81,167.57,23.67,123.34,13.52,6.3,62.43,1,7.059,Low,Wheat
23.67,1150.0,100.0,7.05,190.24,26.0,85.85,14.98,2.37,90.0,1,6.918,Low,Wheat
23.18,568.54,72.97,6.34,88.71,74.71,81.6,18.13,1.0,26.94,0,8.395,High,Rice
34.13,966.16,67.23,6.19,101.58,48.6,57.33,11.1,0.5,51.35,1,8.249,High,Wheat
35.52,1265.39,82.72,5.85,73.24,68.74,90.9,18.09,3.27,36.43,4,7.246,Low,Cotton
23.58,746.04,100.0,5.88,47.53,62.28,96.68,24.77,2.51,75.71,1,6.628,Low,Wheat
22.01,684.62,78.06,6.76,148.74,56.66,75.19,18.61,3.81,24.69,3,8.242,High,Soybean
29.83,830.84,79.23,5.45,128.92,58.07,93.62,16.83,3.7,54.37,3,8.078,Medium,Soybean
23.69,1253.92,66.96,7.3,120.42,42.69,72.69,15.53,1.1,23.89,6,7.569,Medium,Barley
30.8,958.23,62.88,6.07,64.0,59.68,96.77,21.59,0.78,40.22,3,8.63,High,Soybean
28.22,740.64,57.86,6.38,185.6,48.31,102.82,14.7,3.94,44.49,6,8.999,High,Barley
17.91,1045.16,52.61,5.43,99.87,52.55,102.47,25.39,3.7,61.05,3,6.766,Low,Soybean
36.29,569.31,54.69,6.49,141.35,53.53,82.95,25.73,2.86,28.84,4,6.482,Low,Cotton
37.78,1104.41,44.74,6.24,61.82,55.47,54.0,19.03,1.01,54.95,7,7.031,Low,Millet
23.32,1022.58,63.86,6.46,112.38,78.44,64.7,17.95,4.21,45.28,6,8.714,High,Barley
24.67,807.66,39.73,7.68,131.65,57.4,94.88,22.12,5.41,49.09,2,7.463,Low,Maize
28.72,648.42,67.86,6.64,133.08,80.47,141.22,22.38,3.92,59.37,5,8.723,High,Sugarcane
29.01,634.0,64.46,5.86,126.19,90.76,71.48,14.78,2.23,25.76,0,8.523,High,Rice
30.95,1060.45,67.2,5.93,139.78,77.1,91.4,15.89,3.57,57.16,3,8.897,High,Soybean
39.06,1268.69,57.17,6.98,74.78,70.69,66.1,12.71,1.45,36.47,1,6.546,Low,Wheat
25.94,708.81,100.0,7.54,127.89,66.54,55.65,19.64,5.09,61.44,7,7.428,Low,Millet
22.21,1037.52,85.4,6.73,124.55,77.31,63.09,20.67,3.62,50.02,3,8.697,High,Soybean
18.72,273.89,46.33,7.05,129.27,61.79,27.94,12.6,0.85,41.86,1,6.584,Low,Wheat
22.61,724.61,68.49,6.99,122.89,79.69,113.84,16.18,3.05,36.15,5,8.788,High,Sugarcane
26.8,890.68,55.88,7.64,69.07,72.28,24.25,12.61,4.19,57.35,5,8.518,High,Sugarcane
37.77,627.09,49.78,4.94,67.29,52.8,73.4,14.4,3.0,63.91,5,6.11,Low,Sugarcane
23.89,619.05,44.9,7.03,31.43,77.92,50.55,20.2,3.09,37.01,1,7.929,Medium,Wheat
28.34,699.67,71.48,7.29,152.7,61.83,57.89,15.07,1.66,28.0,3,8.134,Medium,Soybean
26.9,987.66,54.78,5.43,153.11,57.88,114.41,16.8,4.35,55.41,5,8.13,Medium,Sugarcane
34.13,843.8,79.52,5.79,153.74,50.48,85.03,11.49,2.53,23.27,4,7.507,Medium,Cotton
42.16,228.53,79.91,5.82,132.27,63.32,55.87,18.75,0.5,25.42,6,5.547,Low,Barley
23.81,263.79,85.61,5.92,34.68,79.93,65.26,17.82,2.94,29.06,1,7.232,Low,Wheat
24.06,717.94,52.21,6.11,78.93,77.78,60.86,15.08,4.97,38.77,1,9.164,High,Wheat
33.26,1037.31,72.13,6.69,126.82,67.07,78.91,17.24,2.92,24.96,3,8.059,Medium,Soybean
31.09,200.0,74.49,7.19,125.42,71.99,84.32,18.72,6.11,15.92,1,5.953,Low,Wheat
38.08,750.08,57.89,7.37,111.09,85.43,127.39,14.74,4.14,27.97,1,7.489,Medium,Wheat
30.5,742.13,53.42,5.83,134.76,57.0,32.09,12.09,4.01,54.64,5,8.013,Medium,Sugarcane
24.84,1316.5,89.14,5.82,120.47,37.69,79.13,25.22,3.31,25.93,3,6.579,Low,Soybean
30.54,784.49,68.41,7.55,124.83,86.02,72.11,15.47,3.4,39.9,5,8.637,High,Sugarcane
33.65,1014.9,74.54,7.02,94.44,49.4,103.66,17.61,3.1,74.2,6,7.993,Medium,Barley
31.92,942.38,52.67,6.57,159.28,46.19,88.87,22.04,3.05,44.26,7,8.261,High,Millet
30.04,260.83,46.71,6.88,102.77,24.08,94.76,28.0,4.3,50.14,6,6.411,Low,Barley
33.4,1130.46,56.46,6.48,66.77,71.43,88.63,13.02,2.1,30.81,7,8.291,High,Millet
34.02,964.62,63.14,6.92,89.16,27.57,56.7,19.8,1.89,77.45,5,7.213,Low,Sugarcane
35.29,1052.48,49.04,6.23,106.06,44.99,110.28,15.17,1.82,36.88,6,7.942,Medium,Barley
30.89,2077.87,64.85,6.72,159.76,71.76,99.96,15.84,6.57,41.58,3,6.473,Low,Soybean
26.0,274.77,39.67,5.29,118.31,74.44,102.89,15.12,4.3,64.76,0,6.194,Low,Rice
27.88,1417.41,48.2,5.95,112.55,46.97,111.6,13.5,3.96,42.27,5,7.711,Medium,Sugarcane
34.24,813.77,75.06,5.96,70.05,57.32,90.44,17.83,1.91,45.72,7,8.712,High,Millet
22.1,986.2,74.06,6.2,151.42,42.55,117.02,12.1,4.44,40.77,4,7.894,Medium,Cotton
29.21,886.35,59.12,5.76,93.92,49.03,89.44,21.79,3.33,40.88,7,8.623,High,Millet
24.64,772.73,49.73,6.07,116.0,65.32,74.52,18.22,3.82,50.56,4,8.667,High,Cotton
27.17,729.05,49.59,5.29,179.21,49.97,79.83,19.69,2.04,53.29,1,8.679,High,Wheat
34.67,998.85,59.4,6.94,140.35,55.12,79.4,16.14,3.74,35.35,6,7.794,Medium,Barley
28.15,444.85,74.67,6.43,54.87,30.71,67.02,16.53,2.86,33.51,4,8.025,Medium,Cotton
27.28,1125.17,78.92,5.14,49.22,82.66,120.8,19.15,2.35,35.86,7,7.927,Medium,Millet
18.84,775.14,57.55,5.83,117.43,70.2,87.41,13.34,4.6,23.98,1,7.519,Medium,Wheat
31.48,560.98,47.7,6.77,71.49,75.86,82.37,16.57,1.19,21.14,0,7.656,Medium,Rice
30.87,765.0,69.02,6.07,145.94,85.81,89.71,14.56,4.35,49.46,3,8.702,High,Soybean
39.98,1277.14,52.65,5.94,121.69,43.5,154.5,14.44,4.53,59.08,3,6.873,Low,Soybean
25.15,739.4,57.23,6.44,126.62,52.83,51.71,9.56,2.18,58.07,3,7.959,Medium,Soybean
28.31,1007.54,84.88,6.77,91.73,22.1,58.87,23.36,2.27,10.0,4,7.362,Low,Cotton
28.5,680.71,77.41,5.35,189.66,122.81,45.49,15.25,3.17,41.32,0,8.379,High,Rice
36.46,1127.38,67.37,6.94,233.7,57.01,74.19,22.65,3.92,28.47,4,7.525,Medium,Cotton
26.43,1105.65,45.92,5.86,108.86,80.77,86.14,22.28,3.27,47.16,6,8.49,High,Barley
28.67,1454.58,68.17,6.49,134.12,35.24,68.37,12.86,4.15,38.73,4,7.259,Low,Cotton
30.65,847.33,80.94,6.47,123.9,79.93,66.51,13.65,6.14,53.88,0,8.412,High,Rice
28.12,1100.6,59.37,6.08,109.61,97.15,83.56,28.0,2.74,44.71,0,7.741,Medium,Rice
24.32,929.42,85.27,5.68,86.72,58.79,67.45,25.0,0.93,16.56,6,7.22,Low,Barley
28.16,1288.76,84.39,6.27,76.6,39.78,87.75,17.87,4.74,30.49,0,7.738,Medium,Rice
33.44,684.35,89.96,7.8,74.58,57.22,107.86,19.03,6.02,45.09,7,7.779,Medium,Millet
20.84,1123.5,69.58,5.41,136.21,15.46,96.93,15.48,4.09,46.35,0,8.077,Medium,Rice
27.8,841.59,73.81,7.85,99.21,59.24,102.03,19.73,1.87,23.91,3,7.725,Medium,Soybean
22.8,880.74,86.21,6.29,20.0,76.42,107.15,15.13,3.31,21.95,7,8.009,Medium,Millet
34.17,927.53,71.71,6.53,137.79,59.28,87.07,9.87,1.82,45.84,7,8.101,Medium,Millet
17.86,975.67,57.48,5.63,118.47,54.32,76.03,12.71,4.46,23.94,6,7.01,Low,Barley
23.65,865.13,58.27,5.88,173.87,70.55,60.69,18.08,1.47,19.97,2,8.139,High,Maize
29.26,964.41,68.58,6.1,134.92,72.08,70.22,13.48,3.05,38.32,2,8.357,High,Maize
36.39,1373.44,45.64,5.66,60.85,26.8,66.91,17.73,1.99,37.67,0,6.879,Low,Rice
26.61,1195.63,62.85,6.33,30.81,61.78,98.29,13.7,3.69,31.82,7,8.524,High,Millet
23.67,1160.75,81.45,6.17,91.22,108.72,88.67,14.87,2.95,34.44,2,8.314,High,Maize
38.29,763.34,32.13,7.98,95.0,33.3,97.42,21.41,3.77,45.21,2,6.72,Low,Maize
18.31,633.23,88.02,5.57,157.73,58.29,50.99,18.99,3.53,34.2,0,6.196,Low,Rice
13.81,1186.59,81.84,6.58,119.65,98.83,115.79,17.96,2.02,46.06,2,7.956,Medium,Maize
29.64,1162.81,58.1,6.7,165.35,82.08,69.33,21.52,4.44,39.29,4,8.598,High,Cotton
23.99,1341.8,73.15,5.64,67.01,49.73,52.5,19.92,3.43,47.51,1,7.748,Medium,Wheat
20.87,718.81,65.05,7.05,158.61,64.12,69.02,23.79,2.02,58.17,6,7.735,Medium,Barley
31.25,831.14,83.45,6.18,148.84,59.96,142.09,16.16,6.86,57.59,1,9.171,High,Wheat
28.46,408.15,79.74,4.51,39.27,45.04,70.31,16.28,4.21,64.32,0,6.119,Low,Rice
23.62,782.26,44.0,7.03,172.9,58.51,71.87,12.8,3.27,57.57,3,8.636,High,Soybean
19.32,1198.97,73.81,5.61,123.74,54.4,75.2,16.28,5.62,48.58,6,7.788,Medium,Barley
32.23,760.05,61.92,5.66,135.68,62.25,76.28,21.86,6.26,38.5,0,8.433,High,Rice
30.9,1092.14,66.24,7.05,85.4,45.03,60.46,23.2,3.28,39.18,7,7.983,Medium,Millet
26.4,842.85,54.08,6.22,171.01,34.47,83.58,21.84,4.02,31.83,3,8.221,High,Soybean
38.08,997.22,91.22,7.23,72.57,59.17,106.89,10.82,2.02,45.07,1,7.095,Low,Wheat
20.58,555.69,80.6,7.47,153.28,94.3,87.86,22.33,3.28,55.46,0,7.561,Medium,Rice
17.85,925.56,53.9,5.98,152.82,61.64,52.22,10.65,3.2,34.11,7,7.795,Medium,Millet
22.85,200.0,44.98,7.13,81.03,53.37,71.39,21.59,3.78,44.44,6,6.854,Low,Barley
26.73,843.93,59.21,5.9,199.33,75.08,66.21,16.53,4.0,34.84,6,8.894,High,Barley
28.46,410.86,71.52,8.29,129.26,56.83,81.32,20.81,4.34,48.14,5,7.736,Medium,Sugarcane
25.55,1261.8,68.6,5.95,146.16,97.36,113.26,12.67,3.86,36.76,7,8.94,High,Millet
29.11,1133.22,83.8,7.32,58.92,59.92,76.28,22.68,1.68,33.91,4,7.817,Medium,Cotton
19.49,1040.0,76.85,7.18,204.71,74.01,77.8,12.14,2.09,34.8,2,7.516,Medium,Maize
35.66,1356.3,79.54,6.75,71.02,44.91,124.44,15.33,2.68,52.55,3,7.474,Medium,Soybean
26.51,615.33,69.9,5.96,161.0,70.06,101.91,14.01,3.08,43.55,7,8.54,High,Millet
33.7,1424.21,44.16,6.38,80.21,65.5,94.35,10.98,5.08,38.57,5,6.955,Low,Sugarcane
29.06,1179.66,62.06,4.78,95.24,58.87,128.95,18.38,1.76,48.92,2,7.904,Medium,Maize
29.74,829.03,80.9,6.68,151.55,49.96,92.25,25.22,2.96,38.78,2,8.844,High,Maize
30.42,1240.69,64.23,6.78,161.1,47.24,30.34,28.0,4.93,61.9,0,6.926,Low,Rice
29.69,568.11,72.55,6.61,69.15,65.65,100.82,18.39,3.05,30.39,2,8.488,High,Maize
30.86,652.65,60.22,4.5,163.62,72.58,40.2,22.47,4.19,42.2,4,7.257,Low,Cotton
34.97,717.42,49.55,5.49,161.8,57.46,91.3,18.93,3.29,23.93,6,7.315,Low,Barley
28.18,741.31,63.15,5.9,82.48,65.75,37.16,20.0,3.89,39.8,5,8.517,High,Sugarcane
31.25,583.03,69.64,6.73,183.95,59.24,68.33,16.63,3.16,19.81,2,8.225,High,Maize
26.46,1266.92,55.16,6.73,61.73,61.97,70.91,18.78,4.5,56.19,0,8.586,High,Rice
35.64,822.34,61.46,6.36,95.01,55.99,60.75,20.15,1.18,56.5,4,8.191,High,Cotton
22.94,1005.75,50.91,7.01,139.16,60.36,71.28,15.69,2.96,56.76,1,8.428,High,Wheat
37.81,728.89,81.79,5.68,85.86,113.96,105.81,17.69,3.94,45.43,6,7.744,Medium,Barley
26.76,353.82,60.58,6.99,130.55,66.23,62.15,17.77,4.3,31.8,6,8.181,High,Barley
18.42,981.02,86.79,6.88,129.64,72.91,93.63,21.31,5.74,32.99,5,8.112,Medium,Sugarcane
27.77,326.32,87.93,6.8,112.52,68.76,55.86,13.74,2.91,67.95,6,6.024,Low,Barley
22.91,879.41,63.78,6.35,153.3,54.74,75.26,17.79,5.72,66.54,2,8.464,High,Maize
32.04,489.51,49.87,7.96,110.87,85.88,88.1,25.65,2.51,46.84,0,6.678,Low,Rice
23.08,1496.18,33.71,6.89,129.26,54.18,55.09,22.66,5.49,37.27,6,7.106,Low,Barley
24.32,1173.41,42.92,5.73,165.86,81.1,47.21,23.4,4.73,65.53,6,7.463,Low,Barley
15.66,931.73,44.39,6.7,151.63,53.32,92.3,18.1,2.13,34.58,1,7.947,Medium,Wheat
24.29,1279.11,85.68,7.1,151.44,40.8,108.08,19.28,3.96,48.43,1,7.746,Medium,Wheat
12.46,646.11,66.74,6.03,74.03,67.31,78.02,22.01,3.42,65.28,3,6.643,Low,Soybean
17.5,1063.04,70.84,7.37,140.99,37.91,68.57,24.24,4.44,32.45,4,7.345,Low,Cotton
31.56,959.94,31.69,6.81,84.86,70.71,83.89,10.19,3.17,57.44,2,6.961,Low,Maize
31.71,979.21,47.03,4.63,68.74,36.12,81.39,12.74,3.04,52.81,6,7.993,Medium,Barley
29.55,1281.71,78.31,6.74,117.13,53.62,86.07,23.24,5.55,44.41,7,8.387,High,Millet
21.2,1119.75,69.3,6.18,83.83,31.37,16.79,16.89,3.35,30.1,6,7.88,Medium,Barley
26.71,986.62,62.79,6.93,151.62,116.48,53.27,15.31,4.74,34.13,0,8.751,High,Rice
26.98,403.53,73.47,7.26,152.58,26.92,58.87,12.98,3.16,49.34,3,7.463,Low,Soybean
20.05,611.99,89.54,6.66,43.89,60.2,83.77,15.78,6.0,23.65,4,7.267,Low,Cotton
36.02,863.19,61.68,7.83,86.87,82.87,84.65,12.39,2.48,46.96,7,7.458,Low,Millet
32.26,928.01,66.04,6.36,61.61,80.73,95.9,26.36,2.58,53.12,3,8.531,High,Soybean
25.67,560.94,67.89,7.0,101.49,77.03,86.44,17.91,5.79,59.78,5,8.203,High,Sugarcane
27.16,1623.5,100.0,7.14,138.21,53.66,47.48,17.77,2.83,24.02,4,6.823,Low,Cotton
28.25,1354.92,33.51,6.42,110.31,87.02,116.18,20.35,5.9,64.74,6,7.154,Low,Barley
14.75,1080.64,75.25,7.12,96.41,78.27,111.8,21.85,4.84,70.43,6,6.671,Low,Barley
25.52,921.61,63.28,6.02,172.01,64.25,48.55,21.78,3.27,51.15,4,8.988,High,Cotton
22.91,836.34,73.5,6.16,27.81,64.81,88.32,22.29,0.78,29.43,6,8.433,High,Barley
20.99,614.42,55.14,5.45,169.47,53.92,65.11,15.48,3.47,40.08,2,7.528,Medium,Maize
25.31,923.24,64.27,6.69,98.23,41.81,83.47,16.81,3.65,44.29,4,8.893,High,Cotton
37.79,977.33,75.67,6.76,116.88,84.74,106.33,21.08,5.25,49.06,3,8.454,High,Soybean
30.85,527.47,100.0,7.44,98.91,86.24,133.25,15.89,5.88,45.33,4,8.066,Medium,Cotton
23.57,1000.25,77.12,7.13,181.72,42.32,98.78,17.98,2.47,49.22,7,8.899,High,Millet
30.44,853.42,52.28,6.27,70.76,56.92,87.37,19.6,4.7,43.64,6,8.013,Medium,Barley
35.4,327.66,58.64,5.56,120.47,57.13,71.5,21.14,4.65,48.98,2,7.621,Medium,Maize
32.55,641.88,58.2,6.85,141.1,59.35,84.55,10.89,5.11,38.09,2,7.78,Medium,Maize
27.36,775.92,38.07,7.39,55.56,61.29,113.99,20.86,4.25,39.93,5,8.153,High,Sugarcane
23.12,1466.31,60.05,7.1,83.2,78.94,78.88,17.07,0.59,36.36,3,7.471,Medium,Soybean
31.19,1066.97,75.99,7.37,114.07,45.06,57.85,20.83,3.27,73.76,1,7.667,Medium,Wheat
29.36,499.36,45.89,6.33,84.53,43.07,39.51,21.11,1.77,66.96,1,7.519,Medium,Wheat
32.37,1045.81,80.73,6.13,87.38,84.73,92.83,24.43,3.2,53.33,4,8.292,High,Cotton
30.81,435.81,72.32,5.91,106.01,50.75,86.18,23.41,4.97,64.88,5,6.816,Low,Sugarcane
33.3,1224.81,53.99,6.46,145.98,34.74,63.85,23.39,3.96,56.98,0,7.391,Low,Rice
23.79,758.66,62.88,6.44,106.29,50.3,105.65,23.77,5.22,47.72,4,9.227,High,Cotton
34.9,871.91,88.97,6.67,163.14,53.4,69.46,19.17,4.01,22.42,5,7.761,Medium,Sugarcane
28.19,1297.74,76.0,6.4,80.09,91.1,76.63,18.13,1.55,41.07,3,8.41,High,Soybean
39.45,513.85,65.13,6.39,69.92,78.5,79.58,21.49,0.5,39.97,3,6.674,Low,Soybean
22.86,480.86,61.43,5.88,197.05,82.95,71.23,20.93,3.72,28.0,3,8.027,Medium,Soybean
37.42,724.92,66.15,7.25,93.68,76.4,85.9,16.76,3.18,22.71,3,7.629,Medium,Soybean
28.19,1211.51,57.32,6.56,67.56,78.92,108.79,19.62,2.03,52.39,3,8.963,High,Soybean
23.09,444.2,33.43,6.36,50.32,46.24,51.44,17.86,0.95,49.87,5,7.345,Low,Sugarcane
24.1,200.0,95.63,5.9,163.0,56.03,92.21,14.58,2.4,27.49,5,6.874,Low,Sugarcane
25.08,764.65,67.33,5.43,106.35,40.2,84.3,23.16,3.21,33.81,2,8.612,High,Maize
29.54,1065.52,70.97,7.55,109.85,55.79,83.84,18.22,4.5,62.42,7,8.574,High,Millet
30.14,1260.08,64.13,6.94,113.63,73.68,101.8,26.19,3.78,31.83,1,7.303,Low,Wheat
23.56,761.05,53.97,5.2,160.52,62.69,81.23,11.5,5.91,47.56,6,6.938,Low,Barley
26.85,776.57,62.21,7.11,112.82,86.23,92.01,15.77,1.95,42.15,3,9.112,High,Soybean
39.85,1246.17,41.01,7.24,213.76,37.17,97.9,18.13,4.82,52.6,0,7.126,Low,Rice
37.37,339.08,99.16,6.6,125.35,70.0,67.39,22.55,3.57,32.16,6,5.689,Low,Barley
29.62,783.44,46.48,7.78,162.47,35.03,87.48,19.6,4.54,46.35,5,8.243,High,Sugarcane
27.23,957.13,49.52,6.67,152.21,61.88,73.73,19.24,2.85,47.53,0,8.977,High,Rice
27.72,1034.77,58.4,5.37,118.54,74.81,76.68,13.49,5.11,48.45,0,8.383,High,Rice
30.68,747.06,84.32,6.79,96.52,55.71,71.95,13.37,3.94,46.19,0,8.071,Medium,Rice
20.86,910.33,65.22,6.7,133.28,71.02,91.78,19.29,2.48,50.17,2,9.217,High,Maize
25.46,200.0,46.46,6.02,140.4,40.81,82.04,12.54,3.48,77.88,5,6.382,Low,Sugarcane
16.99,702.53,83.82,6.96,97.1,26.73,89.86,15.87,3.14,83.42,0,6.299,Low,Rice
29.4,1036.05,75.97,5.17,126.65,71.14,79.56,20.0,4.23,35.41,3,8.555,High,Soybean
30.88,605.31,73.08,7.29,169.45,94.88,39.9,14.07,1.73,10.23,4,6.932,Low,Cotton
24.1,917.7,75.74,5.8,202.8,40.08,80.78,24.42,3.46,53.93,0,8.725,High,Rice
36.44,1034.06,100.0,5.71,154.17,84.44,81.59,22.9,4.09,47.79,2,7.54,Medium,Maize
